name,brand,w,h,one,two,three,four,nos,media,jobno,category
Al Maya Satwa,RRP,179.5,30.5,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Al Maya Satwa,MLB,179.5,30.5,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Atlas Overhead Unit Double (Quality Supermarket),PL,170,52.5,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Quality Supermarket,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Ahmed Ali Muzafri Supermarket,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Ahmed Ali Muzafri Supermarket - Maxi,MLB,62.2,26.4,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Speed way Minimart,RRP,53.8,33.8,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Speed way Minimart - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Speed way Minimart - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
ISTANBUL FOODSTUFF TRADING Co. Al Nahda 2,RRP,53.8,33.8,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
ISTANBUL FOODSTUFF TRADING Co. Al Nahda 2 - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
ISTANBUL FOODSTUFF TRADING Co. Al Nahda 2 - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Technical Invest,RRP,53.8,21.5,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Technical Invest,MLB,159.5,76.5,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Nasser square/DXB Tower,RRP,75,22,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Nasser square/DXB Tower - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Nasser square/DXB Tower - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Nasser square/DXB Tower - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Nasser square/DXB Tower - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Karama,RRP,79,26.7,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Karama - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Karama - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Karama - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Karama - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Karama - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithrams Karama - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Atria,RRP,80,35,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Atria - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Choithram Atria - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Maxims - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Maxims - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Maxims - FF20 Back,MLB,68.2,52.2,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Maxims - FF20 Front,MLB,68.5,62,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Shaklan Market International City - Deira ,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Shaklan Market International City - Deira ,PL,35,15.6,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Al Maya Jesco Hamriya - Qusais,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Al Maya Jesco Hamriya - Qusais,MLB,150.5,30,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Konci Marketing (Dragon Mart),RRP,114.7,30,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Konci Marketing (Dragon Mart) - Maxi,Chester,62.2,26.4,,,1,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
GRANDIOSE SUPERMARKET L.L.C-06-AL BARSHA DUBAI,MLB,87,15.6,,,,1,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
GRANDIOSE SUPERMARKET L.L.C-06-AL BARSHA DUBAI,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Grandiose Al Wasl,Chester,64.5,18.5,,,1,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Grandiose Al Wasl,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
All Day Design district,RRP,140.2,25,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
All Day Design district,MLB,140.2,25,,,,1,1,Durantrans,233691,Dubai - 2 Header CC + RRP
3770 Bridge Maktoum,RRP,83,35,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
3770 Bridge Maktoum,MLB,90,45,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
3961 Karama behind Karama Centre,RRP,150,48,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
3961 Karama behind Karama Centre,MLB,24,217,,,,1,1,Durantrans,233691,Dubai - 2 Header CC + RRP
